Rank,Time,Athlete,Country,Date,Place
1,04:44.8,Hicham El Guerrouj, Morocco,7-Sep-99,Berlin
2,04:46.9,Ali Saïdi-Sief, Algeria,19-Jun-01,Strasbourg
3,04:47.9,Noureddine Morceli, Algeria,3-Jul-95,Paris
4,04:48.7,Vénuste Niyongabo, Burundi,12-Jul-95,Nice
5,04:48.7,John Kibowen, Kenya,1-Aug-98,Hechtel
6,04:50.0,Jakob Ingebrigtsen, Norway,11-Jun-20,Oslo
7,04:50.1,Noah Ngeny, Kenya,30-Jul-99,Stockholm
8,04:50.8,Craig Mottram, Australia,9-Mar-06,Melbourne
9,04:50.8,Saïd Aouita, Morocco,16-Jul-87,Paris
10,04:51.3,Daniel Komen, Kenya,5-Jun-98,Milan
