Rank,Time,Athlete,Country,Date,Place
1,43.03,Wayde van Niekerk, South Africa,14-Aug-16,Rio de Janeiro
2,43.18,Michael Johnson, United States,26-Aug-99,Seville
3,43.29,Butch Reynolds, United States,17-Aug-88,Zürich
4,43.45,Jeremy Wariner, United States,31-Aug-07,Osaka
4,43.45,Michael Norman, United States,20-Apr-19,Torrance
6,43.48,Steven Gardiner, Bahamas,4-Oct-19,Doha
7,43.5,Quincy Watts, United States,5-Aug-92,Barcelona
8,43.64,Fred Kerley, United States,27-Jul-19,Des Moines
9,43.65,LaShawn Merritt, United States,26-Aug-15,Beijing
10,43.72,Isaac Makwala, Botswana,5-Jul-15,La Chaux-de-Fonds
11,43.74,Kirani James, Grenada,3-Jul-14,Lausanne
12,43.81,Danny Everett, United States,26-Jun-92,New Orleans
13,43.86,Lee Evans, United States,18-Oct-68,Mexico City
14,43.87,Steve Lewis, United States,28-Sep-88,Seoul
15,43.93,Yousef Ahmed Masrahi, Saudi Arabia,23-Aug-15,Beijing
15,43.93,Rusheen McDonald, Jamaica,,
17,43.94,Akeem Bloomfield, Jamaica,8-Jun-18,Eugene
18,43.97,Larry James, United States,18-Oct-68,Mexico City
19,44.01,Machel Cedenio, Trinidad and Tobago,14-Aug-16,Rio de Janeiro
20,44.02,Baboloki Thebe, Botswana,6-Jul-17,Lausanne
21,44.05,Angelo Taylor, United States,23-Jun-07,Indianapolis
22,44.07,Abdalleleh Haroun, Qatar,21-Jul-18,London
23,44.09,Alvin Harrison, United States,19-Jun-96,Atlanta
23,44.09,Jerome Young, United States,21-Jun-98,New Orleans
25,44.1,Gary Kikaya, Democratic Republic of the Congo,9-Sep-06,Stuttgart
