Rank,Time,Athlete,Country,Date,Place
1,02:12.0,Noah Ngeny, Kenya,5-Sep-99,Rieti
2,02:12.2,Sebastian Coe, Great Britain,11-Jul-81,Oslo
3,02:12.9,Steve Cram, Great Britain,9-Aug-85,Gateshead
4,02:13.1,Taoufik Makhloufi, Algeria,1-Jul-15,Nancy
5,02:13.5,Ayanleh Souleiman, Djibouti,25-Aug-16,Lausanne
6,02:13.6,Kennedy Kimwetich, Kenya,17-Jul-99,Nice
7,02:13.6,Abubaker Kaki Khamis, Sudan,3-Jul-10,Eugene
8,02:13.7,Noureddine Morceli, Algeria,2-Jul-93,Villeneuve-d'Ascq
9,02:13.9,Robert Biwott, Kenya,25-Aug-16,Lausanne
10,2:13.9 h,Rick Wohlhuter, United States,30-Jul-74,Oslo
11,02:13.9,Jonathan Kitilit, Kenya,25-Aug-16,Lausanne
12,02:14.0,Mehdi Baala, France,26-Jun-03,Strasbourg
13,02:14.1,Joaquim Cruz, Brazil,20-Aug-84,Nice
14,02:14.2,Asbel Kiprop, Kenya,25-Aug-16,Lausanne
15,02:14.3,Japheth Kimutai, Kenya,1-Aug-00,Stockholm
16,02:14.3,Marcin Lewandowski, Poland,25-Aug-16,Lausanne
17,02:14.4,William Yiampoy, Kenya,5-Sep-99,Rieti
18,02:14.4,Laban Rotich, Kenya,16-Jul-97,Nice
19,02:14.5,Abdi Bile, Somalia,13-Sep-89,Jerez de la Frontera
20,02:14.5,Djabir Said-Guerni, Algeria,5-Sep-99,Rieti
21,02:14.5,Willi Wülbeck, West Germany,1-Jul-80,Oslo
22,02:14.7,El-Mahjoub Haïda, Morocco,12-Jul-95,Nice
23,02:14.7,Yusuf Saad Kamel, Bahrain,22-Jul-08,Stockholm
24,02:14.7,Joseph Tengelei, Kenya,12-Jul-95,Nice
24,02:14.7,Patrick Konchellah, Kenya,1-Aug-00,Stockholm
