Rank,Time,Athlete,Country,Date,Place
1,01:40.9,David Rudisha, Kenya,9-Aug-12,London
2,01:41.1,Wilson Kipketer, Denmark,24-Aug-97,Cologne
3,01:41.7,Sebastian Coe, United Kingdom,10-Jun-81,Florence
,01:41.7,Nijel Amos, Botswana,9-Aug-12,London
5,01:41.8,Joaquim Cruz, Brazil,26-Aug-84,Cologne
6,01:42.1,Emmanuel Korir, Kenya,22-Jul-18,London
7,01:42.2,Abubaker Kaki Khamis, Sudan,4-Jun-10,Oslo
8,01:42.3,Sammy Koskei, Kenya,26-Aug-84,Cologne
9,01:42.3,Wilfred Bungei, Kenya,8-Sep-02,Rieti
9,01:42.3,Donavan Brazier, United States,1-Oct-19,Doha
11,01:42.4,Mohammed Aman, Ethiopia,6-Sep-13,Brussels
12,01:42.5,Yuriy Borzakovskiy, Russia,24-Aug-01,Brussels
13,01:42.5,Amel Tuka, Bosnia and Herzegovina,17-Jul-15,Monaco
14,01:42.5,Timothy Kitum, Kenya,9-Aug-12,London
14,01:42.5,Pierre-Ambroise Bosse, France,18-Jul-14,Monaco
16,01:42.5,Ferguson Rotich, Kenya,12-Jul-19,Monaco
17,01:42.5,André Bucher,  Switzerland,17-Aug-01,Zürich
18,01:42.6,Vebj?rn Rodal, Norway,31-Jul-96,Atlanta
19,01:42.6,Johnny Gray, United States,28-Aug-85,Koblenz
20,01:42.6,Taoufik Makhloufi, Algeria,15-Aug-16,Rio de Janeiro
21,01:42.6,Patrick Ndururi, Kenya,17-Aug-01,Zürich
22,01:42.7,Alfred Kirwa Yego, Kenya,6-Sep-09,Rieti
23,01:42.7,Hezekiél Sepeng, South Africa,3-Sep-09,Brussels
23,01:42.7,Japheth Kimutai, Kenya,3-Sep-09,Brussels
25,01:42.8,Frederick Onyancha, Kenya,31-Jul-96,Atlanta
25,01:42.8,Yusuf Saad Kamel, Bahrain,29-Jul-08,Monaco
