Rank,Time,Athlete,Country,Date,Place
1,30.81,Wayde van Niekerk, South Africa,28-Jun-17,Ostrava
2,30.85 A,Michael Johnson, United States,24-Mar-00,Pretoria
3,30.97,Usain Bolt, Jamaica,27-May-10,Ostrava
4,31.2,Kirani James, Grenada,14-Aug-16,Rio de Janeiro
4,31.2,LaShawn Merritt, United States,,
6,31.44,Isaac Makwala, Botswana,28-Jun-17,Ostrava
7,31.48,Roberto Hern?ndez, Cuba,3-Sep-90,Jerez de la Frontera
7,31.48,Danny Everett, United States,,
9,31.56,Douglas Walker, Great Britain,19-Jul-98,Gateshead
10,31.58,Jeremy Wariner, United States,31-Aug-07,Osaka
11,31.61,Anthuan Maybank, United States,13-Jul-96,Durham
11,31.61,Clarence Munyai, South Africa,28-Jun-17,Ostrava
13,31.64,Tony McQuay, United States,11-Jun-16,Kingston
14,31.67,John Regis, Great Britain,17-Jul-92,Gateshead
15,31.7,Kirk Baptiste, United States,18-Aug-84,London
16,31.73,Thomas Jefferson, United States,22-Aug-87,London
17,31.74,Gabriel Tiacoh, Ivory Coast,6-Aug-86,A Coru?a
18,31.77,Tyler Christopher, Canada,20-May-04,Sainte Anne
19,31.8,Pavel Masl?k, Czech Republic,28-Jun-17,Ostrava
20,31.81,Gil Roberts, United States,11-Jun-16,Kingston
21,31.82,Steve Lewis, United States,17-Jul-92,Gateshead
22,31.87,Mark Richardson, Great Britain,19-Jul-98,Gateshead
22,31.87,Jonathan Borlée, Belgium,5-Jul-12,Naimette-Xhovémont
22,31.87,Noah Lyles, United States,4-Mar-17,Albuquerque
25,31.88,Angelo Taylor, United States,31-Aug-07,Osaka
25,31.88,Darren Clark, Australia,30-Jun-86,Belfast
25,31.88,Wallace Spearmon, United States,10-Feb-06,Fayetteville
